10,5,7,14,  1,9,4,3,  13,15,2,8,  12,0,11,6
10,13,8,3,  1,15,2,0,  7,14,11,12,  6,5,4,9
9,10,11,3,  8,7,2,12,  14,1,0,4,  13,15,5,6
3,1,0,14,  7,12,15,6,  9,11,5,4,  8,10,2,13
15,2,4,9,  7,3,14,11,  5,12,8,1,  10,0,13,6
1,5,6,12,  10,0,2,8,  11,15,3,7,  14,9,4,13
4,3,15,5,  10,2,9,7,  1,6,11,14,  12,13,8,0
2,12,15,1,  14,0,8,5,  4,11,6,3,  9,13,7,10
6,14,8,12,  2,3,13,15,  9,5,1,7,  11,0,10,4
6,7,11,9,  8,0,13,14,  5,12,2,1,  10,15,4,3
15,12,5,9,  4,0,13,3,  14,6,1,8,  10,11,2,7
14,6,2,1,  11,9,13,10,  3,8,0,5,  4,12,15,7
8,3,9,11,  10,0,7,13,  2,4,5,1,  15,14,12,6
12,11,3,5,  15,0,7,1,  8,6,2,14,  9,10,13,4
7,8,11,14,  12,9,4,5,  3,2,13,1,  15,0,6,10
12,9,2,10,  3,4,14,0,  11,7,1,6,  15,13,5,8
14,12,8,1,  9,13,3,5,  7,11,6,10,  15,4,2,0
6,2,0,8,  11,12,5,4,  9,15,7,1,  10,14,13,3
10,7,8,14,  6,12,5,9,  3,15,4,2,  11,1,13,0
15,4,1,10,  6,12,2,9,  0,5,13,7,  11,14,8,3
10,1,0,12,  6,5,2,11,  9,13,14,4,  15,7,3,8
2,14,13,5,  15,4,3,11,  12,1,6,7,  9,0,10,8
12,10,14,6,  9,3,2,7,  15,4,11,5,  8,0,13,1
15,2,0,9,  8,10,1,11,  13,6,4,3,  5,14,7,12
13,2,3,1,  8,14,10,9,  0,4,15,6,  11,5,7,12
13,10,8,1,  11,12,14,3,  0,15,2,6,  5,9,4,7
3,6,15,1,  2,4,8,11,  14,13,12,7,  9,0,10,5
14,8,7,13,  6,9,2,15,  0,3,4,12,  1,5,11,10
4,7,3,9,  1,5,11,2,  14,8,12,13,  6,0,10,15
2,12,7,5,  15,0,9,1,  3,8,4,11,  14,13,10,6
10,3,14,6,  15,5,4,7,  13,11,0,9,  12,8,1,2
